stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
Manteigadas (Esc Profissional Setúbal),11_787,38.5206523099383,-8.84843887932375,data_tst,787
Marco Grilo (EN 378),11_1930,38.5518255756127,-9.1008048930584,data_tst,1930
Marco Grilo (Estr M Grilo Fte Lte 2829) Rest Bote,11_1172,38.5516045619331,-9.09966661563754,data_tst,1172
Marco Grilo (Estr M Grilo Lte 2829) Rest Botequim,11_1175,38.5514111800954,-9.10001869284714,data_tst,1175
Marco Severino (Avª 1º Maio) Fte Quiosque,11_1365,38.6180637546084,-9.11323658370732,data_tst,1365
Marco Severino (Avª 1º Maio) Quiosque,11_1366,38.6179681926686,-9.11304259121215,data_tst,1366
Margaça (EN 5) (X) R Espanhois,11_3414,38.6037544811073,-8.70773361249381,data_tst,3414
Margaça (R Espanhois) (X) EN 5,11_3434,38.6038916899619,-8.70784314595395,data_tst,3434
Marisol (Avª Fonte Telha 19A),11_2377,38.6015982359328,-9.17062872435749,data_tst,2377
Marisol (Avª Fonte Telha 41A),11_2379,38.6006219011206,-9.17640419788656,data_tst,2379
Marisol (Avª Fonte Telha Fte 19A),11_2376,38.6016506484875,-9.17031230506362,data_tst,2376
Marisol (Avª Fonte Telha Lte 4),11_2380,38.6006194872672,-9.17643347100346,data_tst,2380
Marisol (Avª Vale Boieiro 57),11_4195,38.6031699535898,-9.16996282733006,data_tst,4195
Marisol (Avª Vale Boieiro Fte 57),11_4196,38.6034267675531,-9.17003828138566,data_tst,4196
Marisol (R Amadeu S Cardoso 9),11_4197,38.6044942628652,-9.16983089089548,data_tst,4197
Marisol (R Amadeu S Cardoso Fte 9),11_2382,38.6044315393111,-9.17017874899069,data_tst,2382
Marisol (R Amadeu S Cardoso Fte Lte 31A),11_2381,38.6027629296025,-9.16682154664631,data_tst,2381
Marisol (R Amadeu S Cardoso Lte 31A),11_4198,38.6027291018006,-9.16678654106459,data_tst,4198
Marisol (R António Soares 10),11_2383,38.5996498480611,-9.18452874482471,data_tst,2383
Marisol (R António Soares 74),11_2384,38.5947650473664,-9.18379308523054,data_tst,2384
Marisol (R António Soares 9),11_2386,38.5996571067797,-9.18453015474858,data_tst,2386
Marisol (R António Soares Lte 75),11_2385,38.5948655211406,-9.18378077427776,data_tst,2385
Marisol (R Lobitos 57),11_2387,38.5952263630944,-9.17885644369372,data_tst,2387
Marisol (R Lobitos Fte 57),11_2388,38.5954059486912,-9.17908437431654,data_tst,2388
Marisol (R Manuel Fevereiro 5),11_2390,38.5988546278545,-9.17837430090121,data_tst,2390
Marisol (R Manuel Fevereiro Fte 5),11_2389,38.5988545876535,-9.17838463068102,data_tst,2389
